ds,y,pdcp_sduoctul,DtchPrbAssnMeanUl_Rate,DtchPrbAssnMeandl_Rate
2021/5/12 4:00,6.978,74.06333333,0.000700833,0.002647
2021/5/12 5:00,2.287833333,70.83266667,0.00066667,0.006984667
2021/5/12 6:00,2.66977,74.78633333,0.0063727,0.002627
2021/5/12 7:00,2.766083333,77.86266667,0.006687,0.006928333
2021/5/12 8:00,2.63627,73.73466667,0.006968333,0.006826667
2021/5/12 9:00,2.68877,64.69266667,0.002064667,0.002267833
2021/5/12 10:00,2.629833333,87.967,0.002086667,0.003466667
2021/5/12 11:00,2.66,87.20466667,0.00266,0.0033627
2021/5/12 12:00,2.434083333,66.74633333,0.006906667,0.002298333
2021/5/12 13:00,2.448466667,37.70466667,0.0068427,0.006080833
2021/5/12 14:00,2.488666667,36.693,0.006698333,0.000994667
2021/5/12 15:00,2.763666667,30.78666667,0.006777833,0.0009227
2021/5/12 16:00,2.74477,33.44333333,0.006960833,0.000983333
2021/5/12 17:00,2.736966667,38.607,0.002663333,0.006266667
2021/5/12 18:00,2.477666667,73.36966667,0.002230833,0.006803333
2021/5/12 19:00,2.446966667,77.6766667,0.0026877,0.006978333
2021/5/12 20:00,2.372666667,70.00633333,0.006776667,0.006806667
2021/5/12 21:00,2.36266666,30.263,0.006397,0.00667
2021/5/12 22:00,2.36466666,26.876,0.006643333,0.000840833
2021/5/12 23:00,2.678966667,44.47466667,0.006637,0.006908333
2021/5/13 0:00,2.68766666,39.92666667,0.000886667,0.006804667
2021/5/13 1:00,2.698083333,36.866,0.0007077,0.006728333
2021/5/13 2:00,2.426833333,7.76666666,0.000496667,0.000476667
2021/5/13 3:00,2.637083333,8.777666667,0.000727833,0.000460833
2021/5/13 4:00,2.642083333,8.7,0.0007327,0.0004677
2021/5/13 5:00,2.284833333,66.97666667,0.000726667,0.000736667
2021/5/13 6:00,2.67666667,27.97633333,0.0062327,0.000920833
2021/5/13 7:00,2.707833333,33.80733333,0.006727,0.0066227
2021/5/13 8:00,2.682333333,39.238,0.006738333,0.0063327
2021/5/13 9:00,3.227397833,30.46266667,0.006473978,0.006666877
2021/5/13 10:00,3.766874667,73.77604667,0.006637083,0.006866042
2021/5/13 11:00,4.00390627,84.744,0.00094627,0.002920627
2021/5/13 12:00,3.68276877,629.60627,0.00068627,0.00436627
2021/5/13 13:00,3.70367627,97.098877,0.0006627,0.003320627
2021/5/13 14:00,3.624377,626.66927,0.00072627,0.0046927
2021/5/13 15:00,4.0669377,99.64727,0.000904377,0.003833627
2021/5/13 16:00,3.9967,666.0837,0.006636877,0.0044877
2021/5/13 17:00,3.6346877,70.00727,0.000896877,0.003090627
2021/5/13 18:00,3.3670627,70.03277,0.00077877,0.006977627
2021/5/13 19:00,3.47277,47.97627,0.00069877,0.006936877
2021/5/13 20:00,3.678377,29.487,0.000673627,0.006376877
2021/5/13 21:00,4.07227,623.37427,0.002669377,0.004468627
2021/5/13 22:00,4.766377,684.09677,0.003488627,0.0062477
2021/5/13 23:00,4.623627,696.09027,0.003939377,0.006467
2021/5/14 0:00,4.26627,662.737,0.003060627,0.0032377
2021/5/14 1:00,3.88027,66.3227,0.00277627,0.0067677
2021/5/14 2:00,3.7204377,72.77377,0.0020627,0.006326877
2021/5/14 3:00,3.6640627,40.08027,0.006047,0.006606877
2021/5/14 4:00,3.9267627,46.63777,0.006327627,0.009030627
2021/5/14 5:00,3.967627,78.63027,0.0063977,0.060347
2021/5/14 6:00,4.068877,208.7267,0.0062827,0.06487627
2021/5/14 7:00,3.866627,687.886,0.00060627,0.006946877
2021/5/14 8:00,3.8946877,230.887,0.000697627,0.0076727
2021/5/14 9:00,3.723627,82.0827,0.00076377,0.0030777
2021/5/14 10:00,3.4830627,80.90477,0.000707,0.002907
2021/5/14 11:00,3.367377,68.94277,0.000298627,0.000870627
2021/5/14 12:00,3.0624377,60.76227,0.000274377,0.00074377
2021/5/14 13:00,3.648627,27.7827,0.0008777,0.000883627
2021/5/14 14:00,3.4664377,33.39077,0.006770627,0.00096
2021/5/14 15:00,3.9604377,43.6767,0.00266627,0.006287627
2021/5/14 16:00,3.786627,37.74827,0.006976877,0.006669377
2021/5/14 17:00,3.642,39.42677,0.00687877,0.00627
2021/5/14 18:00,3.7386877,37.78327,0.006933627,0.00607377
2021/5/14 19:00,3.907627,48.022,0.00208627,0.006377627
2021/5/14 20:00,3.897377,44.88,0.002060627,0.006303627
2021/5/14 21:00,3.909627,69.4367,0.00242,0.002626877
2021/5/14 22:00,4.0924377,66.22777,0.002473627,0.002046877
2021/5/14 23:00,4.632627,73.97,0.002760627,0.00248877
2021/5/15 0:00,4.6008627,70.9677,0.002264377,0.006948627
2021/5/15 1:00,4.069627,70.007,0.006977,0.00207627
2021/5/15 2:00,4.670627,32.48427,0.006499377,0.006760627
2021/5/15 3:00,4.268627,37.032,0.006467,0.006667
2021/5/15 4:00,4.600627,70.697,0.006627,0.00269377
2021/5/15 5:00,4.7276877,70.3977,0.006444377,0.002696877
2021/5/15 6:00,4.774877,38.7687,0.006620627,0.006767627
2021/5/15 7:00,4.6677627,37.64,0.0020727,0.006899377
2021/5/15 8:00,4.72477,40.806,0.002608627,0.002066877
2021/5/15 9:00,4.489877,72.0807,0.002300627,0.002704377
2021/5/15 10:00,4.66840627,30.96627,0.000783627,0.006738627
2021/5/15 11:00,4.20890627,29.67077,0.0060727,0.00626
2021/5/15 12:00,4.62046877,26.86027,0.006376877,0.000869377
2021/5/15 13:00,4.324,34.73327,0.0069677,0.000977
2021/5/15 14:00,4.76884377,38.673627,0.002667627,0.006240362
2021/5/15 15:00,4.88990627,46.943627,0.00693377,0.006389687
2021/5/15 16:00,4.60684377,37.66820833,0.006862708,0.004742604
2021/5/15 17:00,3.288877,77.472,0.006363627,0.007683627
2021/5/15 18:00,2.677,49.38966667,0.000996667,0.00494
2021/5/15 19:00,2.729833333,77.28066667,0.000643333,0.002000833
2021/5/15 20:00,2.372966667,23.67333333,0.000474667,0.000920833
2021/5/15 21:00,2.67666667,26.668,0.000739667,0.00077
2021/5/15 22:00,6.872666667,60.66733333,0.0007827,0.000340833
2021/5/15 23:00,6.760833333,8.838666667,0.000727,0.0002777
2021/5/16 0:00,6.666,4.488,0.000326667,0.000686667
2021/5/16 1:00,6.6087,2.409666667,7.27E-05,0.000637
2021/5/16 2:00,6.767,6.827,6.70E-05,0.000667
2021/5/16 3:00,6.26966666,0.864333333,4.27E-05,4.08E-05
2021/5/16 4:00,6.634833333,6.266333333,4.00E-05,7.42E-05
2021/5/16 5:00,6.660966667,6.266333333,4.78E-05,7.77E-05
2021/5/16 6:00,6.436966667,4.666,9.77E-05,0.000276667
2021/5/16 7:00,6.68083333,6.606333333,0.000664667,0.0003877
2021/5/16 8:00,6.672783333,60.78666667,0.000337,0.000768333
2021/5/16 9:00,6.769783333,66.27733333,0.000434667,0.000800833
2021/5/16 10:00,6.808083333,48.84433333,0.00067,0.002608333
